"Category","City","Container","Continent","Country_Region","Customer_Name","Customer_Segment","Department","Item","Order_Date","Order_Priority","Postal_Code","Region","Ship_Date","Ship_Mode","State","Customer_ID","Discount","Number_of_Records","Order_ID","Order_Quantity","Product_Base_Margin","Profit","Sales","Shipping_Cost","Unit_Price"
"Appliances","North Olmsted","Small Box","North America","United States of America","Stuart Sharma","Consumer","Office Supplies","Holmes Replacement Filter for HEPA Air Cleaner, Large Room","8/19/11","Critical","44070","East","8/21/11","Regular Air","Ohio","2,883","8.00","1","87,637","16","43.00","119","226","13","15"
"Appliances","Charlotte","Small Box","North America","United States of America","Andrew Gonzalez","Consumer","Office Supplies","Holmes Replacement Filter for HEPA Air Cleaner, Large Room","8/19/11","Critical","28206","South","8/21/11","Regular Air","North Carolina","2,882","8.00","1","2,368","65","43.00","305","919","13","15"
"Scissors, Rulers and Trimmers","Buenos Aires","Small Pack","South America","Argentina","Tim Hendrix","Corporate","Office Supplies","Kleencut Forged Office Shears by Acme United Corporation","8/19/11","Low","","International","8/24/11","Regular Air","Province de Buenos Aires","743","1.00","1","59,783","65","55.00","36","140","3","2"
"Scissors, Rulers and Trimmers","Phoenix","Small Pack","North America","United States of America","Lindsay York","Corporate","Office Supplies","Kleencut Forged Office Shears by Acme United Corporation","8/19/11","Low","85023","West","8/24/11","Regular Air","Arizona","746","1.00","1","87,728","16","55.00","31","34","3","2"
"Office Furnishings","Sao Paulo","Small Pack","South America","Brazil","Kyle Craig","Corporate","Furniture","Nu-Dell Leatherette Frames","8/20/11","High","","International","8/20/11","Express Air","Sa_o Paulo","1,543","10.00","1","59,233","54","49.00","51","715","5","14"
"Telephones and Communication","Chennai","Medium Box","Asia","India","Elizabeth Kuhn","Home Office","Technology","Bell Sonecor JB700 Caller ID","8/20/11","Not Specified","","International","8/20/11","Regular Air","Tamil Nadu","3,080","5.00","1","9,152","77","60.00","78","524","5","8"
"Telephones and Communication","Sarasota","Medium Box","North America","United States of America","Constance Ivey","Home Office","Technology","Bell Sonecor JB700 Caller ID","8/20/11","Not Specified","34239","South","8/20/11","Regular Air","Florida","3,081","5.00","1","89,905","19","60.00","239","129","5","8"
"Rubber Bands","Plainfield","Wrap Bag","North America","United States of America","Jan Cross","Corporate","Office Supplies","Staples Paper Clips","8/20/11","High","60544","Central","8/21/11","Regular Air","Illinois","642","3.00","1","91,339","22","38.00","29","54","1","2"
"Pens and Art Supplies","Hobart","Wrap Bag","North America","United States of America","Miriam Drake","Home Office","Office Supplies","Sanford Liquid Accent Highlighters","8/20/11","High","46342","Central","8/21/11","Regular Air","Indiana","1,386","10.00","1","88,314","7","48.00","20","45","2","7"
"Pens and Art Supplies","Istanbul","Wrap Bag","Asia","Turkey","Joel Perez","Home Office","Office Supplies","Sanford Liquid Accent Highlighters","8/20/11","High","","International","8/21/11","Regular Air","Istanbul","1,385","10.00","1","25,154","29","48.00","91","186","2","7"
"Bookcases","Richmond","Jumbo Box","North America","United States of America","John Bray","Corporate","Furniture","Bush Westfield Collection Bookcases, Fully Assembled","8/20/11","High","47374","Central","8/22/11","Delivery Truck","Indiana","1,548","8.00","1","88,492","1","62.00","83","112","36","101"
"Bookcases","Sao Paulo","Jumbo Box","South America","Brazil","Kyle Craig","Corporate","Furniture","Bush Westfield Collection Bookcases, Fully Assembled","8/20/11","High","","International","8/22/11","Delivery Truck","Sa_o Paulo","1,543","8.00","1","59,233","5","62.00","96","561","36","101"
"Chairs and Chairmats","Vienna","Jumbo Drum","Europe","Austria","Ron Perry","Small Business","Furniture","Global High-Back Leather Tilter, Burgundy","8/20/11","Not Specified","","International","8/22/11","Delivery Truck","Vienna","2,083","7.00","1","15,045","20","74.00","384","2,507","70","123"
"Chairs and Chairmats","Russellville","Jumbo Drum","North America","United States of America","Arlene Grimes","Small Business","Furniture","Global High-Back Leather Tilter, Burgundy","8/20/11","Not Specified","72801","South","8/22/11","Delivery Truck","Arkansas","2,085","7.00","1","89,382","5","74.00","160","627","70","123"
"Rubber Bands","Wuhan","Wrap Bag","Asia","China","Mary Camp","Small Business","Office Supplies","OIC Thumb-Tacks","8/21/11","Low","","International","8/21/11","Regular Air","Hubei Sheng","692","0.00","1","31,204","14","38.00","1","18","1","1"
"Chairs and Chairmats","Rio de Janeiro","Large Box","South America","Brazil","Colleen Stark","Consumer","Furniture","Hon Olson Stacker Stools","8/21/11","Not Specified","","International","8/22/11","Regular Air","Rio de Janeiro","523","6.00","1","40,257","43","57.00","2,676","5,735","24","141"
"Chairs and Chairmats","Farragut","Large Box","North America","United States of America","Gina McKnight","Consumer","Furniture","Hon Olson Stacker Stools","8/21/11","Not Specified","37922","South","8/22/11","Regular Air","Tennessee","524","6.00","1","91,128","11","57.00","227","1,467","24","141"
"Paper","Lenexa","Wrap Bag","North America","United States of America","Vincent Lindsay","Home Office","Office Supplies","Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6 x 11","8/21/11","Medium","66215","Central","8/22/11","Regular Air","Kansas","96","10.00","1","87,307","14","38.00","65","94","2","7"
"Binders and Binder Accessories","Minnetonka","Small Box","North America","United States of America","Kelly Burnette","Corporate","Office Supplies","Poly Designer Cover and Back","8/21/11","Critical","55345","Central","8/23/11","Regular Air","Minnesota","2,984","10.00","1","88,774","14","37.00","167","246","5","19"
"Binders and Binder Accessories","Buenos Aires","Small Box","South America","Argentina","Samantha Bailey","Corporate","Office Supplies","Poly Designer Cover and Back","8/21/11","Critical","","International","8/23/11","Regular Air","Province de Buenos Aires","2,982","10.00","1","22,053","58","37.00","746","1,021","5","19"
"Telephones and Communication","Zibo","Small Pack","Asia","China","Katherine Kendall","Corporate","Technology","Accessory2","8/21/11","Medium","","International","8/23/11","Express Air","Shandong Sheng","3,377","6.00","1","26,693","79","55.00","2,896","3,761","1","56"
"Telephones and Communication","Kennesaw","Small Pack","North America","United States of America","Annette McIntyre","Corporate","Technology","Accessory2","8/21/11","Medium","30144","South","8/23/11","Express Air","Georgia","3,379","6.00","1","88,843","20","55.00","15","952","1","56"
"Office Furnishings","Wuhan","Small Pack","Asia","China","Mary Camp","Small Business","Furniture","Nu-Dell Leatherette Frames","8/21/11","Low","","International","8/26/11","Regular Air","Hubei Sheng","692","2.00","1","31,204","25","49.00","296","385","5","14"
"Office Furnishings","Thornton","Small Pack","North America","United States of America","Richard McClure","Small Business","Furniture","Nu-Dell Leatherette Frames","8/21/11","Low","80229","West","8/26/11","Regular Air","Colorado","693","2.00","1","87,816","6","49.00","64","92","5","14"
"Tables","Buenos Aires","Jumbo Box","South America","Argentina","Christopher Browning","Corporate","Furniture","Hon iLevel Computer Training Table","8/21/11","Low","","International","8/28/11","Delivery Truck","Province de Buenos Aires","3,037","8.00","1","45,511","56","65.00","660","1,719","46","32"
"Binders and Binder Accessories","Sterling Heights","Small Box","North America","United States of America","Gretchen Davis","Corporate","Office Supplies","Lock-Up Easel Spel-Binder","8/22/11","Medium","48310","Central","8/23/11","Regular Air","Michigan","2,012","7.00","1","86,878","20","38.00","373","541","1","29"
"Binders and Binder Accessories","Delhi","Small Box","Asia","India","Evan McPherson","Corporate","Office Supplies","Lock-Up Easel Spel-Binder","8/22/11","Medium","","International","8/23/11","Regular Air","National Capital Territory of Delhi","2,008","7.00","1","36,480","79","38.00","1,646","2,138","1","29"
"Telephones and Communication","Liverpool","Small Pack","Europe","United Kingdom","Katharine Rowe Harrison","Small Business","Technology","Accessory13","8/22/11","High","WC2A","International","8/23/11","Regular Air","England","3,185","9.00","1","42,950","68","57.00","1,574","2,044","1","36"
"Appliances","Creve Coeur","Small Box","North America","United States of America","Ralph Woods Scott","Corporate","Office Supplies","Hoover WindTunnel Plus Canister Vacuum","8/22/11","Medium","63141","Central","8/24/11","Express Air","Missouri","1,765","9.00","1","89,778","9","57.00","2,221","3,219","20","363"
"Appliances","Cairo","Small Box","Africa","Egypt","Bruce Gregory","Corporate","Office Supplies","Hoover WindTunnel Plus Canister Vacuum","8/22/11","Medium","","International","8/24/11","Express Air","Al Qahirah","1,761","9.00","1","31,238","38","57.00","10,467","13,593","20","363"
"Envelopes","Guadalajara","Small Box","North America","Mexico","Don P Brandon","Small Business","Office Supplies","Staples Brown Kraft Recycled Clasp Envelopes","8/23/11","High","","International","8/23/11","Regular Air","Jalisco","2,222","8.00","1","45,989","47","35.00","31","268","5","6"
"Envelopes","Hobbs","Small Box","North America","United States of America","Sean McKenna","Small Business","Office Supplies","Staples Brown Kraft Recycled Clasp Envelopes","8/23/11","High","88240","West","8/23/11","Regular Air","New Mexico","2,225","8.00","1","89,973","12","35.00","27","68","5","6"
"Office Machines","Taylor","Jumbo Drum","North America","United States of America","Raymond Clark","Home Office","Technology","Hewlett-Packard Deskjet 3820 Color Inkjet Printer","8/23/11","Low","48180","Central","8/23/11","Delivery Truck","Michigan","2,155","3.00","1","90,389","20","37.00","1,450","2,102","14","101"
"Office Machines","Guangzhou","Jumbo Drum","Asia","China","Megan H Odom","Home Office","Technology","Hewlett-Packard Deskjet 3820 Color Inkjet Printer","8/23/11","Low","","International","8/23/11","Delivery Truck","Guangdong Sheng","2,154","3.00","1","11,907","81","37.00","6,556","8,514","14","101"
"Pens and Art Supplies","East Saint Louis","Wrap Bag","North America","United States of America","Jeanette Boswell","Corporate","Office Supplies","Prismacolor Color Pencil Set","8/23/11","Not Specified","62205","Central","8/24/11","Express Air","Illinois","1,568","0.00","1","90,232","7","44.00","99","144","4","20"
"Pens and Art Supplies","Baghdad","Wrap Bag","Asia","Iraq","Frank Poole","Corporate","Office Supplies","Prismacolor Color Pencil Set","8/23/11","Not Specified","","International","8/24/11","Express Air","Baghdad","1,567","0.00","1","10,789","27","44.00","428","555","4","20"
"Storage and Organization","West Babylon","Small Box","North America","United States of America","Tim Moore","Small Business","Office Supplies","Eldon Gobal File Keepers","8/23/11","Critical","11704","East","8/25/11","Regular Air","New York","479","1.00","1","87,741","8","81.00","30","122","5","15"
"Storage and Organization","New York City","Small Box","North America","United States of America","Michael Wiggins","Small Business","Office Supplies","Eldon Gobal File Keepers","8/23/11","Critical","10177","East","8/25/11","Regular Air","New York","478","1.00","1","49,831","32","81.00","58","488","5","15"
"Computer Peripherals","Osaka","Small Box","Asia","Japan","Annie Rouse","Home Office","Technology","Adesso Programmable 142-Key Keyboard","8/23/11","High","","International","8/25/11","Regular Air","_saka","2,576","4.00","1","3,493","86","74.00","6,782","13,470","7","152"
"Computer Peripherals","Montgomery","Small Box","North America","United States of America","Alfred Burton","Home Office","Technology","Adesso Programmable 142-Key Keyboard","8/23/11","High","36116","South","8/25/11","Regular Air","Alabama","2,577","4.00","1","88,300","22","74.00","802","3,446","7","152"
"Pens and Art Supplies","Butte","Small Pack","North America","United States of America","Leslie Shannon","Small Business","Office Supplies","Boston KS Multi-Size Manual Pencil Sharpener","8/23/11","Low","59750","West","8/28/11","Regular Air","Montana","1,950","9.00","1","90,417","17","57.00","30","370","9","23"
"Paper","Grand Rapids","Small Box","North America","United States of America","Lisa Branch","Small Business","Office Supplies","Xerox 1905","8/24/11","Critical","49505","Central","8/24/11","Regular Air","Michigan","2,380","6.00","1","86,656","16","37.00","103","107","10","6"
"Paper","New York City","Small Box","North America","United States of America","Geoffrey Saunders","Small Business","Office Supplies","Xerox 1905","8/24/11","Critical","10024","East","8/24/11","Regular Air","New York","2,382","6.00","1","10,819","63","37.00","197","420","10","6"
"Paper","Coralville","Small Box","North America","United States of America","Renee McDowell","Corporate","Office Supplies","Southworth 25% Cotton Premium Laser Paper and Envelopes","8/24/11","Not Specified","52241","Central","8/25/11","Regular Air","Iowa","2,399","1.00","1","86,375","21","37.00","312","453","9","20"
"Paper","Hong Kong","Small Box","Asia","Hong Kong","Dale Dyer","Corporate","Office Supplies","Southworth 25% Cotton Premium Laser Paper and Envelopes","8/24/11","Not Specified","","International","8/25/11","Regular Air","Hong Kong","2,396","1.00","1","51,879","83","37.00","1,377","1,789","9","20"
"Binders and Binder Accessories","Kolkata","Small Box","Asia","India","Glenda U Potter","Corporate","Office Supplies","GBC Imprintable Covers","8/24/11","Critical","","International","8/25/11","Regular Air","West Bengal","2,595","4.00","1","42,754","56","36.00","212","617","5","11"
"Office Furnishings","Shawnee","Wrap Bag","North America","United States of America","Rebecca Abrams","Corporate","Furniture","Coloredge Poster Frame","8/24/11","High","74801","Central","8/26/11","Regular Air","Oklahoma","2,784","4.00","1","86,981","22","46.00","223","323","5","14"
"Office Furnishings","Moscow","Wrap Bag","Asia","Russian Federation","Jimmy Joyce","Corporate","Furniture","Coloredge Poster Frame","8/24/11","High","","International","8/26/11","Regular Air","Moskva (city)","2,782","4.00","1","34,209","86","46.00","973","1,264","5","14"
"Office Furnishings","Hong Kong","Small Box","Asia","Hong Kong","Dale Dyer","Corporate","Furniture","Howard Miller 11-1/2 Diameter Ridgewood Wall Clock","8/24/11","Not Specified","","International","8/26/11","Regular Air","Hong Kong","2,396","3.00","1","51,879","47","44.00","1,924","2,499","20","52"
"Paper","Shawnee","Small Box","North America","United States of America","Rebecca Abrams","Corporate","Office Supplies","Staples Colored Bar Computer Paper","8/24/11","High","74801","Central","8/26/11","Regular Air","Oklahoma","2,784","3.00","1","86,981","13","38.00","322","467","5","35"
"Paper","Moscow","Small Box","Asia","Russian Federation","Jimmy Joyce","Corporate","Office Supplies","Staples Colored Bar Computer Paper","8/24/11","High","","International","8/26/11","Regular Air","Moskva (city)","2,782","3.00","1","34,209","52","38.00","1,438","1,868","5","35"
"Labels","Waukegan","Small Box","North America","United States of America","Bruce Morton","Home Office","Office Supplies","Avery 487","8/24/11","High","60087","Central","8/26/11","Regular Air","Illinois","561","9.00","1","86,353","14","38.00","33","48","1","4"
"Labels","Dallas","Small Box","North America","United States of America","Marjorie Pope","Home Office","Office Supplies","Avery 487","8/24/11","High","75081","Central","8/26/11","Regular Air","Texas","563","9.00","1","11,460","54","38.00","38","184","1","4"
"Computer Peripherals","Huber Heights","Small Pack","North America","United States of America","Robyn Buchanan","Small Business","Technology","Maxell 4.7GB DVD-R","8/24/11","Low","45424","East","8/26/11","Regular Air","Ohio","1,726","10.00","1","87,198","10","51.00","86","255","2","28"
"Computer Peripherals","Cairo","Small Pack","Africa","Egypt","Joe Stark","Small Business","Technology","Maxell 4.7GB DVD-R","8/24/11","Low","","International","8/26/11","Regular Air","Al Qahirah","1,724","10.00","1","34,562","40","51.00","382","1,022","2","28"
"Paper","Huber Heights","Small Box","North America","United States of America","Robyn Buchanan","Small Business","Office Supplies","Computer Printout Paper with Letter-Trim Perforations","8/24/11","Low","45424","East","8/28/11","Regular Air","Ohio","1,726","3.00","1","87,198","9","37.00","34","173","9","19"
"Paper","Cairo","Small Box","Africa","Egypt","Joe Stark","Small Business","Office Supplies","Computer Printout Paper with Letter-Trim Perforations","8/24/11","Low","","International","8/28/11","Regular Air","Al Qahirah","1,724","3.00","1","34,562","34","37.00","150","654","9","19"
"Rubber Bands","Cairo","Wrap Bag","Africa","Egypt","Suzanne Pennington","Corporate","Office Supplies","OIC Thumb-Tacks","8/25/11","Not Specified","","International","8/27/11","Regular Air","Al Qahirah","2,452","0.00","1","14,117","7","38.00","1","9","1","1"
"Rubber Bands","Homewood","Wrap Bag","North America","United States of America","George Yates","Corporate","Office Supplies","OIC Thumb-Tacks","8/25/11","Not Specified","35209","South","8/27/11","Regular Air","Alabama","2,453","0.00","1","89,223","2","38.00","69","3","1","1"
"Storage and Organization","Little Rock","Small Box","North America","United States of America","Ashley C Bridges","Corporate","Office Supplies","Eldon Gobal File Keepers","8/26/11","High","72209","South","8/27/11","Regular Air","Arkansas","1,722","7.00","1","90,790","13","81.00","72","185","5","15"
"Appliances","Little Rock","Small Box","North America","United States of America","Ashley C Bridges","Corporate","Office Supplies","Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags","8/26/11","High","72209","South","8/27/11","Regular Air","Arkansas","1,722","9.00","1","90,790","19","58.00","13","140","9","8"
"Storage and Organization","San Diego","Small Box","North America","United States of America","Constance Flowers","Corporate","Office Supplies","Eldon Gobal File Keepers","8/26/11","High","92037","West","8/27/11","Regular Air","California","1,723","7.00","1","48,032","52","81.00","104","740","5","15"
"Appliances","San Diego","Small Box","North America","United States of America","Constance Flowers","Corporate","Office Supplies","Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags","8/26/11","High","92037","West","8/27/11","Regular Air","California","1,723","9.00","1","48,032","76","58.00","283","559","9","8"
"Telephones and Communication","Cairo","Small Box","Africa","Egypt","Glenda Kenney","Corporate","Technology","LX 788","8/26/11","High","","International","8/27/11","Regular Air","Al Qahirah","2,524","6.00","1","13,767","18","58.00","203","2,243","9","156"
"Telephones and Communication","Lake Charles","Small Box","North America","United States of America","Gretchen Orr","Corporate","Technology","LX 788","8/26/11","High","70601","South","8/27/11","Regular Air","Louisiana","2,527","6.00","1","87,209","5","58.00","71","623","9","156"
"Telephones and Communication","Fridley","Small Box","North America","United States of America","Karen Warren","Home Office","Technology","232","8/26/11","Medium","55432","Central","8/27/11","Regular Air","Minnesota","2,563","8.00","1","91,448","7","55.00","240","745","5","126"
"Telephones and Communication","Seattle","Small Box","North America","United States of America","Amanda Kay","Home Office","Technology","232","8/26/11","Medium","98144","West","8/27/11","Regular Air","Washington","2,565","8.00","1","46,375","29","55.00","162","3,086","5","126"
"Tables","Cairo","Jumbo Box","Africa","Egypt","Glenda Kenney","Corporate","Furniture","BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables","8/26/11","High","","International","8/28/11","Delivery Truck","Al Qahirah","2,524","5.00","1","13,767","22","72.00","229","3,760","70","219"
"Tables","Oxford","Jumbo Box","North America","United States of America","Grace Everett","Corporate","Furniture","BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables","8/26/11","High","36203","South","8/28/11","Delivery Truck","Alabama","2,525","5.00","1","87,209","5","72.00","108","854","70","219"
"Appliances","Cairo","Medium Box","Africa","Egypt","Glenda Kenney","Corporate","Office Supplies","Holmes 99% HEPA Air Purifier","8/26/11","High","","International","8/28/11","Regular Air","Al Qahirah","2,524","8.00","1","13,767","52","52.00","107","1,072","14","22"
"Appliances","Lake Charles","Medium Box","North America","United States of America","Gretchen Orr","Corporate","Office Supplies","Holmes 99% HEPA Air Purifier","8/26/11","High","70601","South","8/28/11","Regular Air","Louisiana","2,527","8.00","1","87,209","13","52.00","1,249","268","14","22"
"Paper","Fridley","Small Box","North America","United States of America","Karen Warren","Home Office","Office Supplies","Xerox 1932","8/26/11","Medium","55432","Central","8/28/11","Regular Air","Minnesota","2,563","2.00","1","91,448","11","38.00","286","415","5","35"
"Paper","Seattle","Small Box","North America","United States of America","Amanda Kay","Home Office","Office Supplies","Xerox 1932","8/26/11","Medium","98144","West","8/28/11","Regular Air","Washington","2,565","2.00","1","46,375","43","38.00","389","1,622","5","35"
"Telephones and Communication","Cairo","Small Pack","Africa","Egypt","Glenda Kenney","Corporate","Technology","Accessory9","8/26/11","High","","International","8/28/11","Regular Air","Al Qahirah","2,524","1.00","1","13,767","81","39.00","1,946","2,527","3","36"
"Telephones and Communication","Lake Charles","Small Pack","North America","United States of America","Gretchen Orr","Corporate","Technology","Accessory9","8/26/11","High","70601","South","8/28/11","Regular Air","Louisiana","2,527","1.00","1","87,209","20","39.00","47","624","3","36"
"Computer Peripherals","Ankeny","Small Box","North America","United States of America","Jordan Marsh","Corporate","Technology","Belkin MediaBoard 104- Keyboard","8/26/11","Low","50021","Central","8/28/11","Regular Air","Iowa","1,799","8.00","1","85,845","10","75.00","23","275","4","27"
"Computer Peripherals","Moscow","Small Box","Asia","Russian Federation","Sheryl Barnett Braun","Corporate","Technology","Belkin MediaBoard 104- Keyboard","8/26/11","Low","","International","8/28/11","Regular Air","Moskva (city)","1,797","8.00","1","28,068","41","75.00","26","1,127","4","27"
"Computer Peripherals","Inkster","Small Pack","North America","United States of America","Seth Matthews","Home Office","Technology","Imation DVD-RAM discs","8/26/11","Low","48141","Central","8/28/11","Regular Air","Michigan","2,584","0.00","1","89,659","2","43.00","26","71","2","35"
"Computer Peripherals","Delhi","Small Pack","Asia","India","Harriet Atkinson","Home Office","Technology","Imation DVD-RAM discs","8/26/11","Low","","International","8/28/11","Regular Air","National Capital Territory of Delhi","2,582","0.00","1","42,947","9","43.00","30","319","2","35"
"Labels","Evanston","Small Box","North America","United States of America","Samantha Allen","Home Office","Office Supplies","Avery 506","8/26/11","Low","60201","Central","8/30/11","Regular Air","Illinois","1,770","9.00","1","89,107","19","39.00","51","74","1","4"
"Labels","Lagos","Small Box","Africa","Nigeria","Joy Law","Home Office","Office Supplies","Avery 506","8/26/11","Low","","International","8/30/11","Regular Air","Lagos State","1,768","9.00","1","24,007","76","39.00","227","295","1","4"
"Binders and Binder Accessories","Ahmedabad","Small Box","Asia","India","Janet May","Consumer","Office Supplies","Avery Non-Stick Binders","8/26/11","Low","","International","9/2/11","Express Air","Gujarat","2,068","3.00","1","52,933","79","39.00","291","378","1","4"
"Envelopes","Evanston","Small Box","North America","United States of America","Samantha Allen","Home Office","Office Supplies","Peel and Seel Recycled Catalog Envelopes, Brown","8/26/11","Low","60201","Central","9/2/11","Regular Air","Illinois","1,770","6.00","1","89,107","13","35.00","7","148","7","12"
"Envelopes","Lagos","Small Box","Africa","Nigeria","Joy Law","Home Office","Office Supplies","Peel and Seel Recycled Catalog Envelopes, Brown","8/26/11","Low","","International","9/2/11","Regular Air","Lagos State","1,768","6.00","1","24,007","50","35.00","8","568","7","12"
"Computer Peripherals","Evanston","Small Pack","North America","United States of America","Samantha Allen","Home Office","Technology","IBM 80 Minute CD-R Spindle, 50/Pack","8/26/11","Low","60201","Central","9/2/11","Regular Air","Illinois","1,770","8.00","1","89,107","12","48.00","169","245","2","21"
"Computer Peripherals","Lagos","Small Pack","Africa","Nigeria","Joy Law","Home Office","Technology","IBM 80 Minute CD-R Spindle, 50/Pack","8/26/11","Low","","International","9/2/11","Regular Air","Lagos State","1,768","8.00","1","24,007","47","48.00","740","961","2","21"
"Telephones and Communication","Missouri City","Small Box","North America","United States of America","Neil Jacobson","Home Office","Technology","8890","8/27/11","Critical","77489","Central","8/28/11","Regular Air","Texas","2,503","10.00","1","91,311","18","58.00","848","1,597","6","116"
"Telephones and Communication","Rome","Small Box","Europe","Italy","Jonathan Lamb","Home Office","Technology","8890","8/27/11","Critical","","International","8/28/11","Regular Air","Lazio","2,501","10.00","1","32,834","70","58.00","3,782","6,211","6","116"
"Tables","Jakarta","Jumbo Box","Asia","Indonesia","Ashley Hurley","Small Business","Furniture","BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables","8/27/11","Critical","","International","8/29/11","Delivery Truck","Jakarta","2,485","8.00","1","55,750","56","77.00","475","9,838","70","219"
"Office Furnishings","Gurnee","Medium Box","North America","United States of America","Edith Norton","Corporate","Furniture","Eldon Cleatmat Chair Mats for Medium Pile Carpets","8/27/11","Medium","60031","Central","8/29/11","Regular Air","Illinois","2,378","7.00","1","91,324","1","72.00","51","105","52","56"
"Office Furnishings","Dalton","Small Box","North America","United States of America","Donna Block","Small Business","Furniture","12-1/2 Diameter Round Wall Clock","8/27/11","Medium","30721","South","8/29/11","Regular Air","Georgia","2,720","10.00","1","88,768","20","49.00","806","379","10","20"
"Computer Peripherals","Istanbul","Small Pack","Asia","Turkey","Paula P Lester","Consumer","Technology","Verbatim 4.7GB DVD-R","8/28/11","Low","","International","8/28/11","Regular Air","Istanbul","2,367","2.00","1","28,769","11","41.00","19","359","2","33"
"Computer Peripherals","Pembroke Pines","Small Pack","North America","United States of America","Mike G Hartman","Consumer","Technology","Verbatim 4.7GB DVD-R","8/28/11","Low","33024","South","8/28/11","Regular Air","Florida","2,369","2.00","1","90,410","3","41.00","371","98","2","33"
"Labels","Laurel","Small Box","North America","United States of America","Courtney Nelson","Consumer","Office Supplies","Avery 481","8/28/11","Critical","20707","East","8/29/11","Regular Air","Maryland","2,924","4.00","1","86,595","21","37.00","44","64","1","3"
"Binders and Binder Accessories","Laurel","Small Box","North America","United States of America","Courtney Nelson","Consumer","Office Supplies","Storex DuraTech Recycled Plastic Frosted Binders","8/28/11","Critical","20707","East","8/29/11","Regular Air","Maryland","2,924","8.00","1","86,595","20","35.00","81","81","5","4"
"Labels","Seoul","Small Box","Asia","Republic of Korea","Dean Shapiro Britt","Consumer","Office Supplies","Avery 481","8/28/11","Critical","","International","8/29/11","Regular Air","Soul","2,921","4.00","1","31,616","83","37.00","196","255","1","3"
"Binders and Binder Accessories","Seoul","Small Box","Asia","Republic of Korea","Dean Shapiro Britt","Consumer","Office Supplies","Storex DuraTech Recycled Plastic Frosted Binders","8/28/11","Critical","","International","8/29/11","Regular Air","Soul","2,921","8.00","1","31,616","81","35.00","94","329","5","4"
"Office Furnishings","Wilmette","Small Pack","North America","United States of America","Eva Silverman","Consumer","Furniture","G.E. Longer-Life Indoor Recessed Floodlight Bulbs","8/28/11","Not Specified","60091","Central","8/30/11","Regular Air","Illinois","592","5.00","1","86,316","9","37.00","7","63","5","7"
"Appliances","Wheeling","Medium Box","North America","United States of America","Evelyn Blair","Consumer","Office Supplies","Holmes HEPA Air Purifier","8/28/11","Not Specified","60090","Central","8/30/11","Regular Air","Illinois","591","8.00","1","86,316","9","50.00","46","187","6","22"
"Binders and Binder Accessories","Manila","Small Box","Asia","Philippines","Ken Singer","Home Office","Office Supplies","Plastic Binding Combs","8/28/11","Medium","","International","8/30/11","Regular Air","R_gion Capitale Nationale","1,694","1.00","1","55,200","59","38.00","34","903","10","15"
"Binders and Binder Accessories","Hot Springs","Small Box","North America","United States of America","Holly Osborne","Home Office","Office Supplies","Plastic Binding Combs","8/28/11","Medium","71901","South","8/30/11","Regular Air","Arkansas","1,697","1.00","1","86,340","15","38.00","380","230","10","15"
"Telephones and Communication","Manila","Small Box","Asia","Philippines","Ken Singer","Home Office","Technology","ELITE Series","8/28/11","Medium","","International","8/30/11","Regular Air","R_gion Capitale Nationale","1,694","10.00","1","55,200","7","58.00","498","1,136","3","206"
"Computer Peripherals","Burlington","Small Pack","North America","United States of America","Molly Branch","Corporate","Technology","Imation Neon 80 Minute CD-R Spindle, 50/Pack","8/28/11","Low","5401","East","9/2/11","Regular Air","Vermont","1,153","5.00","1","91,345","9","45.00","210","305","2","34"
"Computer Peripherals","Delhi","Small Pack","Asia","India","Nelson Erickson","Corporate","Technology","Imation Neon 80 Minute CD-R Spindle, 50/Pack","8/28/11","Low","","International","9/2/11","Regular Air","National Capital Territory of Delhi","1,147","5.00","1","31,239","36","45.00","940","1,220","2","34"
"Office Furnishings","Shenzhen","Small Box","Asia","China","Cecil Perkins","Home Office","Furniture","Career Cubicle Clock, 8 1/4, Black","8/29/11","High","","International","8/30/11","Express Air","Guangdong Sheng","2,465","6.00","1","58,595","74","47.00","77","1,466","14","20"
"Office Furnishings","Thomasville","Small Box","North America","United States of America","Herbert Reddy","Home Office","Furniture","Career Cubicle Clock, 8 1/4, Black","8/29/11","High","27360","South","8/30/11","Express Air","North Carolina","2,469","6.00","1","88,140","18","47.00","264","357","14","20"
"Chairs and Chairmats","Dublin","Jumbo Drum","Europe","Ireland","Carla Starr","Corporate","Furniture","Global Leather Task Chair, Black","8/29/11","Medium","","International","8/31/11","Delivery Truck","Dublin","1,388","0.00","1","9,251","68","66.00","240","6,500","42","90"
"Chairs and Chairmats","Menlo Park","Jumbo Drum","North America","United States of America","Jean Khan","Corporate","Furniture","Global Leather Task Chair, Black","8/29/11","Medium","94025","West","8/31/11","Delivery Truck","California","1,389","0.00","1","88,734","17","66.00","208","1,625","42","90"
